@RELATION perfEvents

@ATTRIBUTE counter_values_branch-instructions REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
38511747,1443194,39278324,56015225,6
34578995,1354416,214794059,50428495,6
36414291,1370315,33515692,53055328,6
39157591,1452576,181612053,57097894,6
39411298,1442242,37406759,57267944,6
35942396,1400202,205314700,52493354,6
44606221,1535754,37062409,64934603,6
42423755,1510442,200581402,61779307,6
36480138,1412293,37473080,53248273,6
39578059,1469676,204901136,57505249,6
40140898,1490432,41435838,58548405,6
37755687,1392896,224059574,54970509,6
36353667,1391029,41279306,53031317,6
41449073,1445237,225600904,60358669,6
42588118,1482914,42438966,61966984,6
43232984,1503015,231976986,63030989,6
42030476,1468668,43727913,61092349,6
40589194,1418873,236343166,59174425,6
38431237,1442735,42754686,56054432,6
41376209,1500396,233528859,60116074,6
39629866,1491935,41582035,57778889,6
38553436,1421354,226935403,56171012,6
38746936,1459567,44511016,56484098,6
35352962,1322782,242886782,51495296,6
37314335,1440115,38440076,54321533,6
40295272,1515599,208067884,58642520,6
39003761,1458616,39489964,56901383,6
40922079,1464140,216032507,59652527,6
39064037,1429233,42529961,56899328,6
38805121,1448427,230333671,56473017,6
40671789,1461569,38738003,59213294,6
37157074,1412530,211328859,54184341,6
38209639,1465170,38511747,55641239,6
37107694,1388355,208834802,54129244,6
41241980,1491864,34578995,60014381,6
40600106,1506505,189785856,59076501,6
39162373,1464414,36414291,57021740,6
37098977,1425422,197283293,54111457,6
37724292,1426828,39157591,54940400,6
39016021,1469291,214319614,56881340,6
34471791,1330259,39411298,50107772,6
37399206,1444090,212986594,54537327,6
39514546,1485994,35942396,57522475,6
39746141,1498618,196774855,57956631,6
38239854,1410745,44606221,55662965,6
41622813,1530367,243928037,60568503,6
34988892,1346725,42423755,51063250,6
35917126,1392120,229393835,52300192,6
36893879,1409362,36480138,53734352,6
37506341,1434771,199981385,54696965,6
40122726,1451797,39578059,58431049,6
36487491,1365611,213957665,51759784,6
11278495,1475824,40140898,13753580,6
10709270,1129720,219613345,11570228,6
10423029,1197604,37755687,13384106,6
9175856,1291047,204482310,11305644,6
13419796,1374782,36353667,12506175,6
12181627,1186512,198900384,13698320,6
10725518,1354501,41449073,11673932,6
10789451,1299318,224139501,13219678,6
10724705,1243533,42588118,12820444,6
10754298,1426884,232311433,12387090,6
15146984,2899395,43232984,18888126,6
45608551,2831232,236138927,61486929,6
53488961,3790824,42030476,75185797,6
59637241,3473857,227913822,84512747,6
3064342,785980,3064342,2955753,7
3049235,770381,15189168,2945535,7
2504369,649651,3049235,2453808,7
3469773,815261,15111573,3379322,7
3081054,773839,2504369,2977404,7
4908410,762829,12478432,4745926,7
3860366,860381,3469773,3751602,7
3050439,774023,17154661,2943714,7
3089733,757590,3081054,3000616,7
3120729,791286,15241252,3036219,7
3060287,811224,4908410,2956187,7
3063221,792960,23498422,2966776,7
3085804,798841,3860366,2985258,7
3103513,798458,18889846,3009444,7
3066874,768190,3050439,2971318,7
3072466,762084,15087977,2965436,7
4766280,1073511,3089733,4745143,7
3093319,775963,15339344,3003317,7
3044044,799600,3120729,2950986,7
3093210,765618,15492176,2992533,7
3068605,782837,3060287,2955956,7
3056313,753884,15156330,2954178,7
3262300,860063,3063221,3342938,7
2494111,666333,15173506,2443694,7
2540081,679442,3085804,2494605,7
3027448,719890,15285765,2854162,7
2579572,725461,3103513,2567056,7
2983801,797321,15390966,2864370,7
2742977,681272,3066874,2651614,7
3170450,704194,15189678,2944039,7
5381567,845331,3072466,3167066,7
3131125,751369,15210539,2951591,7
1872474,521986,4766280,1843926,7
3748260,1024078,23922766,3738804,7
2974965,680387,3093319,2747500,7
2844382,674325,15360692,2732842,7
4080168,1149627,3044044,4279527,7
9431920,1110295,15109838,11582574,7
3233739,875615,3093210,3334207,7
2527410,634248,15292125,2479386,7
3084619,797918,3068605,2986337,7
3079182,808684,15181010,2975377,7
3055152,759449,3056313,2950967,7
3065133,740738,15144724,2964770,7
3091798,735654,3262300,2989160,7
3581660,822005,16555851,3432114,7
3039735,767314,2494111,2944752,7
2568816,677504,12433777,2550607,7
3054944,831525,2540081,2938485,7
3089459,783869,12658994,2998896,7
3077346,768820,3027448,2983069,7
3123391,776184,14851070,3046461,7
3050045,827071,2579572,3021438,7
3067143,748196,13202467,2950884,7
3047872,773528,2983801,2933841,7
2512380,646455,14454305,2461327,7
3072132,815064,2742977,2966107,7
3078513,772668,13689058,2982386,7
3063166,789461,3170450,2956574,7
3060651,775333,15218187,2963690,7
3069016,749229,5381567,2960693,7
3087662,792992,22513266,2967842,7
3043082,795403,3131125,2933112,7
2526601,643571,15413291,2492800,7
3533466,789116,1872474,3399059,7
2956648,726460,9434793,2856711,7
2601030,664669,3748260,2555496,7
2636527,684188,18677888,2633488,7
3067395,798534,2974965,2957397,7
2484529,659682,14442107,2427490,7
2498897,646568,2844382,2445391,7
3079011,782547,14601519,2970092,7
3064148,783260,4080168,2960525,7
3045855,768033,20747311,2929776,7
3877463,764915,9431920,2870200,7
2564342,679302,58910405,2540581,7
2521024,629146,3233739,2488277,7
2470965,628477,16416609,2420598,7
2521628,648601,2527410,2469466,7
2461048,620602,12583158,2387454,7
2535313,663996,3084619,2498303,7
2513363,649142,15286967,2462795,7
2500628,663200,3079182,2470051,7
3043921,765224,15248535,2938016,7
2516232,670989,3055152,2462764,7
2495537,640474,15137193,2445616,7
3106164,708590,3065133,3078900,7
3738357,797724,15185805,3605053,7
2504769,631839,3091798,2455475,7
3048009,756165,15329450,2947646,7
3075866,785689,3581660,2980778,7
3087849,775879,17531690,2984951,7
3081782,780470,3039735,2980110,7
3036678,772666,15052430,2931312,7
3088233,790014,2568816,2992196,7
3068647,803535,12848012,2957822,7
3052385,785538,3054944,2952316,7
3046818,763375,15110920,2943579,7
3052961,759615,3089459,2949441,7
526869,96227,15318164,440143,7
17956008,1245383,17956008,61096159,8
17660326,1216415,424058616,65833222,8
20889801,1300597,17660326,74696692,8
19719678,1437369,462820706,76936161,8
19229207,1498798,20889801,68176752,8
21234029,1330969,520617243,77156670,8
19102501,1453419,19719678,74056853,8
18956514,1236744,540595865,62840169,8
17159524,1253970,19229207,64641791,8
19004885,1323420,478049535,74248736,8
15302381,1062698,21234029,52789135,8
17848562,1136200,538744792,67272943,8
18387840,1268279,19102501,63281451,8
17360170,1139863,521382798,61549460,8
19629629,1263478,18956514,78404891,8
20029497,1420660,435295336,66807686,8
19231378,1214868,17159524,64674601,8
15262575,1051034,453995093,62841908,8
19596562,1367535,19004885,67572194,8
20864689,1370067,521639054,80822321,8
20857365,1418466,15302381,72275547,8
18370336,1124811,368519248,69950360,8
19715222,1241988,17848562,76987447,8
20534051,1625173,476724438,66543191,8
20652886,1298682,18387840,83168794,8
20206608,1338815,436441102,69000475,8
21489945,1294338,17360170,80871229,8
21237362,1467451,426791188,81424429,8
11860237,948579,19629629,43111343,8
20397288,1457800,553281441,69831567,8
19217592,1305068,20029497,75327853,8
12760471,1097163,462131004,49244231,8
17732663,1194387,19231378,64382393,8
21364281,1560779,455470732,76298010,8
21757780,1407724,15262575,75570830,8
18422451,1359183,443807176,70491505,8
19324211,1197840,19596562,75144138,8
14058948,996179,467784151,47988941,8
19673608,1482097,20864689,73995457,8
20571576,1461690,568647443,73794708,8
20358338,1310323,20857365,80164656,8
19936605,1402223,498051054,68407546,8
18078711,1234441,18370336,70005988,8
18921427,1470447,491974874,71322759,8
19063207,1221883,19715222,64670098,8
19258160,1337534,537928378,76398725,8
17943906,1392281,20534051,66190175,8
19525471,1440427,462186165,67395413,8
19460438,1253969,20652886,76965157,8
16748635,1339193,584980166,61512600,8
20202766,1367745,20206608,70256917,8
19938313,1569597,478652003,75930862,8
19873199,1547802,21489945,70166164,8
18491865,1286468,564618003,72460182,8
18454164,1272245,21237362,62450913,8
20022582,1406933,572184621,79134490,8
21754707,1434859,11860237,79479333,8
21226962,1464130,300040533,77972434,8
18596354,1319329,20397288,62746485,8
15136500,1173947,483604922,58055945,8
20049914,1240156,19217592,77347095,8
20996152,1445540,528989409,77358189,8
21822092,1408861,12760471,77495937,8
14554611,1025943,343183628,55217841,8
18421430,1430186,17732663,63651977,8
19366519,1398929,448621951,69824390,8
18831570,1343299,21364281,72770735,8
17293030,1187278,532177955,57783847,8
17918392,1245080,21757780,70800362,8
20605657,1334739,524323387,73621931,8
19347336,1142223,18422451,72257753,8
19757788,1346928,494276091,68984466,8
15951737,1025546,19324211,59495699,8
17583972,1159090,525827638,58763740,8
17185433,1203822,14058948,65702362,8
19046600,1329251,330878216,67315812,8
18894158,1086382,19673608,74942450,8
23146832,1557163,519078798,79589203,8
21122890,1346321,20571576,77206607,8
21011072,1344904,511946808,77121626,8
19153597,1357736,20358338,75150673,8
20830644,1282019,563378913,76879556,8
21126570,1773099,19936605,77551229,8
19110451,1268003,475412497,66532734,8
17773388,1339974,18078711,68951441,8
14955029,1039777,490471379,51710095,8
18403101,1181823,18921427,67073156,8
20664982,1177944,497757478,76818829,8
19646954,1330343,19063207,66813050,8
19527013,1333334,448548092,76283689,8
18066264,1337756,19258160,66800109,8
22415397,1348754,538778225,75709590,8
18727370,1498855,17943906,78008779,8
16578211,1325592,460651648,52636895,8
20693070,1173532,19525471,79398073,8
20095397,1366322,469190156,77470881,8
21616313,1407418,19460438,72981142,8
21131518,1566298,540668297,83263166,8
7000899,684877,16748635,27770476,8
2461703,521708,2461703,4093858,9
4596638,703837,19043186,6482070,9
3477814,592373,4596638,4945825,9
3566467,629893,29126600,5450274,9
2753080,528185,3477814,4338698,9
2546751,534848,22874679,4162197,9
4148324,698451,3566467,6029375,9
2422059,509093,24020773,4060049,9
3040452,543900,2753080,4856578,9
4241051,676855,20365637,6088195,9
2891435,555641,2546751,4529774,9
4067215,704794,19244120,5903771,9
3389097,628720,4148324,5397965,9
2808566,557147,26537210,4403015,9
3981085,670296,2422059,6069279,9
2968507,506633,18781472,4549361,9
2831027,566453,3040452,4508267,9
3883896,614028,24680072,5868640,9
2917530,543008,4241051,4559777,9
3641377,649713,27570107,5441342,9
2662053,529965,2891435,4266141,9
2560265,532196,20664447,4335183,9
3878166,678156,4067215,5633397,9
2580729,586564,26002570,4215580,9
3192908,533107,3389097,5273769,9
3215839,603707,24243604,5186727,9
3171406,574749,2808566,4716677,9
3719804,656196,20247172,5524481,9
3489033,728915,3981085,5285636,9
2747733,545521,26769715,4696840,9
3742632,594156,2968507,5477687,9
2540556,557886,20763258,4151543,9
3677356,618629,2831027,5384052,9
2881524,569037,20652082,4514454,9
2792321,551510,3883896,4389950,9
4191385,672793,25996679,6107734,9
2705268,499070,2917530,4282306,9
2975223,511925,20752439,4532185,9
3816087,703484,3641377,5661199,9
2891698,546100,24404580,4229103,9
3545259,649919,2662053,5344156,9
2757770,613603,19793741,4607962,9
2684246,558079,2560265,4207965,9
4071726,659806,20500423,5858259,9
2512518,542274,3878166,4155642,9
3029459,565371,25014866,4702746,9
3843086,566484,2580729,5673293,9
2461511,541815,20119105,4080036,9
4258163,651423,3192908,6345162,9
3005495,505156,25260524,4313669,9
2950126,571359,3215839,4223121,9
3620169,638707,24017087,5357536,9
2631258,547179,3171406,4262959,9
4464786,636988,21663650,4934474,9
3150662,602030,3719804,5153350,9
2312493,505629,24661097,3726595,9
4228830,704287,3489033,6292202,9
2569453,554785,24098321,4080993,9
2618245,543834,2747733,4231214,9
3563715,573595,22970084,5318878,9
2538488,534667,3742632,4107219,9
3650981,658838,24278093,5417792,9
2843356,535835,2540556,4208666,9
2497711,557822,19220118,4131745,9
3607031,665558,3677356,5373879,9
2587778,549392,24190926,4195540,9
2458391,519909,2881524,4097639,9
3974921,664432,20792652,5812713,9
2919680,544920,2792321,4809221,9
3823939,656927,20391450,5538921,9
2542299,524979,4191385,4118635,9
2961914,547235,26453762,4396380,9
4005975,676400,2705268,5824713,9
2753107,527945,19639031,4232177,9
3061659,552520,2975223,4790848,9
4046051,721096,20715918,6076181,9
2924105,495245,3816087,4404955,9
4300240,691398,24883534,6295682,9
2456650,513988,2891698,4120678,9
2772957,501136,20777713,4362991,9
3674445,642244,3545259,5466697,9
2431685,514527,23686187,4035658,9
2878924,605045,2757770,4574270,9
