@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-prefetch-misses REAL
@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
185,3093,12801,310492,5
682,24790,137347,1808236,5
75,2872,10621,230285,5
83,3591,17382,276918,5
2679,77374,741598,4395824,5
158,6333,27407,388052,5
740,27208,193927,2175809,5
81,3271,10498,217444,5
86,3563,17347,282843,5
823,27809,196503,1997621,5
74,2913,9560,270449,5
4006,110984,1099574,6602384,5
83,2838,10468,260496,5
90,3604,17317,284286,5
864,29716,195112,2133984,5
86,2708,9581,370323,5
742,27332,196421,2657051,5
75,2812,10410,230424,5
89,3605,17294,318490,5
3729,104034,1093661,6627840,5
76,2691,9532,226280,5
933,33111,200103,2388553,5
91,3269,10506,290857,5
96,3635,17348,299108,5
738,27570,196370,2114204,5
68,2606,9484,257911,5
3645,104718,1093542,5677291,5
87,2915,10434,250409,5
90,3605,17274,283357,5
814,27624,194098,1963706,5
79,2689,9490,263496,5
862,31110,201206,2371545,5
75,2858,10555,233837,5
238,7247,29162,699751,5
3880,107072,1094051,6482861,5
192,4127,9376,575463,5
753,26710,193828,2461380,5
76,2888,10350,243563,5
80,3524,17038,279856,5
869,30056,197421,2129855,5
69,2809,9366,255977,5
4063,112577,1106194,6728002,5
71,2848,10312,231611,5
73,3456,17059,308826,5
796,27450,193774,1748678,5
68,2613,9341,179554,5
739,26828,196027,1598154,5
68,2701,10229,134679,5
98,3958,17083,334517,5
4010,108993,1093459,6755120,5
74,2658,9384,221911,5
957,33402,200208,2124375,5
73,2709,10278,147426,5
80,3503,16996,265275,5
727,27641,196181,1615810,5
69,2562,9369,175506,5
3752,105366,1093356,5730632,5
333,8625,49023,674689,5
75,2633,9297,218607,5
785,27248,193607,1935140,5
81,2805,10375,228026,5
228,7126,24238,435784,5
531,21479,130355,1697543,5
81,2573,9445,201996,5
2763,78030,740562,4451409,5
81,2705,10238,197060,5
73,3409,17169,215900,5
709,27076,193577,1517461,5
77,2643,9419,229316,5
791,26885,193173,1966772,5
73,2776,10284,226838,5
155,7074,21829,554786,5
1124,32934,224528,2375198,5
68,2600,9389,197998,5
798,27331,193306,2094474,5
1459,13315,65229,1173770,5
99,3901,17090,339391,5
575,19515,97965,1411469,5
77,2610,9388,364587,5
3369,94242,984788,6416354,5
70,2833,10373,229074,5
166,6854,22111,563605,5
865,29716,194936,2082739,5
179,6434,21972,447997,5
1092,37757,293953,2535398,5
71,2791,10368,207145,5
71,3419,17131,182851,5
5977,137390,1591095,7890089,5
73,2646,9285,219557,5
786,30172,227021,1837960,5
76,2841,10343,242156,5
160,6884,22022,642486,5
1034,35613,262189,2425477,5
74,2678,9395,221862,5
212,6278,32562,643830,5
72,2804,10247,226149,5
108,3320,9384,456152,5
70,2637,9481,221124,5
80,2660,9411,220790,5
94240,106258,37310377,279762948,6
76809,114551,38927148,283178279,6
63562,70496,38180812,282590290,6
78927,93466,40748048,273740290,6
92260,105161,44465365,292492363,6
80820,81470,42656717,281972099,6
75259,87482,39307713,242574741,6
95610,112978,40701824,284850583,6
84457,112463,38166650,287331664,6
87616,95947,36777692,282939867,6
75456,81798,39695007,284325745,6
83036,98601,38745301,283225001,6
2638,11382,1442690,14590589,6
87573,110193,36467282,277871307,6
69945,78329,38294931,269205933,6
93718,101896,37136662,285742645,6
79952,92693,37940580,289450291,6
72795,69729,37167454,282199374,6
75848,96002,39518364,283851065,6
80038,96422,39411785,278038681,6
77160,98056,39654674,284212313,6
92945,101621,36266421,279694686,6
72235,76241,39963165,281462596,6
71211,76314,40634494,283588157,6
79213,92473,37314006,284656404,6
93475,95346,37896350,279591733,6
78858,90534,39271512,281822446,6
96084,121231,39161649,281564696,6
95003,97034,42878673,282497109,6
81234,92697,44859708,281681142,6
86731,81159,43852225,276341501,6
82788,75895,42042909,280581604,6
76607,86068,42173957,282464012,6
76852,78572,42255319,286482089,6
90626,105599,41671075,281686843,6
74750,92257,42367874,275103392,6
92953,124475,36700267,281212562,6
77606,99100,37289922,282541585,6
83719,106585,39896960,272348261,6
96445,114201,39192335,287095725,6
54555,57053,35226237,268893629,6
76895,96596,38291277,285835454,6
94641,86465,34691148,280468778,6
72558,110588,45075030,258804482,6
85568,88777,44664361,282998943,6
88395,93252,42314501,280062003,6
85275,88672,37362166,277704595,6
56763,68543,38425317,275573037,6
91036,98889,37598734,270331128,6
68709,76014,37089797,280624629,6
93980,110207,39578147,278310514,6
76150,92597,37340047,284136522,6
97102,108149,35001807,270448673,6
55559,61860,38951181,282219291,6
78643,101105,36314561,282056182,6
88155,85540,37287419,284011076,6
78548,104715,39766096,282400729,6
86736,89216,39179520,280807637,6
97494,114090,42517211,282536310,6
54361,55011,41357873,282454009,6
84399,90695,38292979,284725425,6
80437,93847,34871263,284552327,6
89832,131077,42246929,255994797,6
83186,92928,43855539,283026486,6
94080,103747,43305936,281057074,6
94942,120145,39913583,282082593,6
80646,91761,39887242,286995718,6
70881,72204,38243004,281548111,6
95605,108958,43082334,268297513,6
77761,92487,32513410,282227379,6
90550,106123,38037294,258080063,6
81042,98914,39941899,268537504,6
82345,88599,25481917,280056480,6
202516,218244,3056570,35176617,7
222830,219207,3078057,34381478,7
224448,211024,3066357,32968975,7
221388,239542,3427539,35451105,7
186337,198490,3084005,30651915,7
245089,346127,5430886,45206946,7
148424,302092,3693162,40740109,7
186379,197864,2551616,29280761,7
243494,313401,4553825,51866333,7
218972,380384,3581997,46378655,7
200592,222931,3046259,37085155,7
223375,230482,3088065,33514619,7
201298,221111,3052303,31655269,7
213623,244331,3099871,33769534,7
195192,241769,3125184,32625277,7
195921,225574,3069073,31363925,7
185138,213535,2982266,30424948,7
221445,248757,3219521,36710577,7
212812,201238,3043926,32998941,7
243165,247180,3375499,37593386,7
181684,204051,2756008,30076121,7
144026,138829,1938241,22018550,7
235360,227102,3073430,35079396,7
141653,148276,1979794,21643985,7
227566,217862,3068090,32126297,7
147480,166517,2049610,24112910,7
178819,209470,2965219,29173178,7
169490,185731,2476048,26599443,7
200062,195581,2518410,29848763,7
205989,527024,4509174,60194776,7
249936,395714,8505052,67326180,7
147177,357520,2765172,41102512,7
140717,137478,1926556,21325703,7
210991,229360,3063887,32798416,7
169271,203694,2606445,26643365,7
148755,190817,2499643,26240446,7
222411,213647,3068833,35181696,7
143674,165888,1956288,23646709,7
213971,222963,3076335,34653194,7
212808,216194,3072810,36309283,7
159859,180148,2490480,28904944,7
198539,227238,3072862,33177805,7
218968,241597,3086473,35792480,7
236490,224818,3041305,33197926,7
219740,256022,3134299,37845292,7
221136,266219,3600053,37107852,7
169597,199821,2513543,27950125,7
199006,232979,3102313,32900385,7
211045,231560,3061967,34069255,7
235396,231864,3157953,35146342,7
198595,221119,3068916,31135848,7
212884,222451,3066456,35225366,7
162377,189552,2495228,28065452,7
225512,230409,3061746,33959793,7
215250,213538,3065030,33985968,7
174389,195122,2523185,28371269,7
213448,232422,3031365,39909075,7
233088,235770,3137201,34324696,7
253130,249418,3548296,38449832,7
180668,193408,2572551,30182369,7
166084,174234,2489457,26944436,7
201345,224295,3067265,32921941,7
222769,229283,3062929,33644171,7
156973,186716,2527484,26282635,7
124574,201424,2609760,26304319,7
214695,222707,2974985,32303756,7
