@RELATION perfEvents

@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE counter_values_mem-stores REAL
@ATTRIBUTE classLabel REAL

@DATA
869,2361,40981,9718,5
5116,5812,69960,16712,5
2441,2550,41175,9747,5
2149,2391,40888,9723,5
2496,2592,41435,9789,5
2489,2656,40940,9692,5
1923,2463,37947,9110,5
2453,2564,41126,9761,5
2472,2577,41124,9758,5
1256,2190,37709,9054,5
1909,2392,37889,9122,5
2410,5253,69690,16627,5
73,2401,41284,9770,5
35,2386,41352,9795,5
4447,6272,92006,22241,5
2105,2357,41273,9763,5
2488,2595,41150,9768,5
1685,2486,41465,9782,5
2030,2557,38196,9130,5
4734,6251,210046,57295,5
1142,2403,41183,9770,5
2502,4334,63141,15090,5
1406,2341,37927,9106,5
1613,2370,41124,9769,5
76,2393,41161,9746,5
2477,2584,41403,9802,5
3008,3564,41270,9939,5
1842,4122,41092,9742,5
2448,2542,41497,9794,5
2381,2937,41247,9782,5
1766,2848,39864,9832,5
4074,5853,69155,16520,5
2338,2451,41010,9725,5
2738,3200,40791,9867,5
2005,3049,37900,9117,5
1378,2386,41518,9821,5
108,2376,40948,9741,5
144,2369,41030,9719,5
2699,2857,41172,10005,5
2118,2356,40981,9714,5
1274,2806,41078,9742,5
873,6050,75640,18464,5
1825,2531,40220,9598,5
2426,2527,41019,9710,5
2418,2523,41223,9748,5
2130,2375,40924,9707,5
1784,2339,37864,9119,5
1354,2352,41016,9730,5
72,2366,40984,9711,5
2440,2551,41061,9749,5
2415,2522,41224,9756,5
3547,5102,62998,15202,5
2452,2554,40811,9694,5
2614,2692,40802,9697,5
1856,2330,37983,9105,5
2417,2519,40961,9736,5
2480,2592,41027,9710,5
2353,2506,41083,9703,5
1816,2343,37973,9100,5
1365,2326,40798,9696,5
674352,1188514,171131681,45397421,6
731152,1188588,153552387,40987696,6
731336,1204011,168475851,45280226,6
663675,1333681,203853838,54309762,6
566586,1352691,198213195,53154195,6
585958,1418844,203853277,54816413,6
678699,1366173,194335712,51628120,6
581923,1373903,196851274,52892283,6
688125,1209632,173971507,46219854,6
679787,1335527,180567626,48408514,6
600581,1296957,176549083,47359949,6
644282,1252376,175357548,47181709,6
626256,1237254,170071040,45005579,6
688420,1282023,183635090,49284372,6
582944,1289848,184768709,49573759,6
544014,1155779,155303979,40944432,6
658307,1219730,167957103,44940231,6
627100,1257251,176152554,47395130,6
628223,1236265,168319107,45028173,6
594898,1163957,156607127,41845489,6
711433,1188621,163683756,43417524,6
712499,1209823,160892778,43086170,6
669462,1262562,175016729,46907071,6
585387,1308516,182421414,48865022,6
632533,1237329,172741786,45708938,6
648851,1300588,187012679,50122845,6
530941,1394294,205144011,55133237,6
598918,1275522,177820140,47264073,6
576506,1307344,181775387,48730792,6
578581,1326740,185737116,49776207,6
651838,1267022,172497438,45684810,6
618612,1283325,179546416,48237490,6
701493,1288485,176543552,47350812,6
577784,1299829,180650716,47908427,6
623374,1238149,172212634,46254551,6
590786,1271953,174505321,46793940,6
721710,1175632,156219853,41829346,6
648383,1307609,184111345,48898384,6
527611,1226417,169242922,45478023,6
533823,1331912,187638257,50191365,6
656173,1251382,172261579,46195204,6
670175,1272083,177244693,47063000,6
761139,1201548,158957402,42503493,6
737864,1165633,154442136,41265092,6
727070,1155677,156225925,41962224,6
542355,1297901,179025016,48031262,6
668050,1345487,192469948,51117256,6
657721,1310560,196674701,52916176,6
693287,1305881,193260133,51319542,6
583535,1365540,189460854,50874741,6
638345,1296419,178951864,47807031,6
680453,1264922,179664371,47776720,6
717054,1269162,186664149,50097063,6
649528,1327512,189788203,50915722,6
663678,1318617,190300878,50499905,6
744726,1243152,183933338,49506327,6
634593,1285750,173199505,46456941,6
646491,1292925,192355329,51084935,6
546749,1386198,199031257,53497459,6
742216,1239886,178230031,47315521,6
710699,1179968,158267019,42360117,6
725243,1319888,193225643,49839199,6
657213,1335362,185973152,47018044,6
639423,1273187,176912680,48511136,6
625716,1300196,180781444,57647621,6
590497,1419207,216565773,52236027,6
608686,1343934,194409573,50126446,6
509193,1300830,186253185,54735399,6
546555,1397173,205720579,53370071,6
477669,1393752,198608181,56897809,6
530526,1471157,213904022,73148216,6
572253,1673223,273746495,54570354,6
595610,1409388,203836299,46431967,6
595943,1263178,174763410,45105931,6
597449,1230172,168288418,48041987,6
586486,1311094,179042730,44711199,6
653384,1251739,166956505,45908352,6
637908,1240768,172862395,55876687,6
526606,1399559,207803418,46663410,6
795179,1210512,173956869,50067181,6
672303,1275180,188119006,53879895,6
523040,1346688,200906377,47742221,6
711098,1281412,180232753,46919179,6
690423,1289604,174927513,50311279,6
557871,1327404,186883112,49721120,6
663435,1299152,187250586,47464784,6
713550,1273919,176927913,46803933,6
651423,1284840,174500837,48588184,6
679886,1251471,180707282,52057058,6
670568,1307704,195930569,53733905,6
579339,1371364,199996068,42910732,6
736646,1157177,160219580,52770926,6
