@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_bus-cycles REAL
@ATTRIBUTE counter_values_cache-misses REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
922,10604,84,26952,4
906,19274,1588,24260,4
1693,33154,3219,43048,4
916,10533,1675,24339,4
1545,8764,1509,21719,4
1294,19272,1221,24717,4
1132,19663,1616,26947,4
1623,21828,808,42760,4
920,7150,1625,24491,4
906,7190,1569,24410,4
1452,7812,1213,24020,4
915,6134,1159,24291,4
1640,8228,1128,45294,4
906,9795,1302,24260,4
1372,12913,1647,24305,4
2303,30628,1256,50869,4
1121,6513,1112,24131,4
1638,7884,963,42982,4
900,16558,1603,24575,4
901,13800,806,24543,4
1230,15779,1638,24260,4
1864,23963,2902,40252,4
1790,10054,1022,24158,4
1020,5476,856,27116,4
912,5041,822,24070,4
929,5196,886,24366,4
1627,9181,1345,42865,4
918,11456,313,23835,4
1034,6735,1370,21277,4
939,5623,944,26828,4
1013,14437,683,24050,4
1782,22911,2707,39698,4
925,14272,1597,24429,4
932,17624,1709,24161,4
912,7362,1584,24254,4
945,13658,678,26919,4
1589,21929,1445,42678,4
912,14622,1085,24167,4
1141,17782,1092,24353,4
891,13703,874,23670,4
1134,7188,1391,21749,4
1934,12476,2281,45728,4
899,6724,1426,24160,4
899,16139,1535,24158,4
905,7186,1573,24154,4
904,15948,1493,24188,4
1661,12810,2333,45303,4
911,3570,356,24388,4
1261,17558,917,24195,4
916,13907,872,24525,4
910,15161,1308,24358,4
1752,19302,1945,40207,4
1243,7207,1461,21317,4
941,17007,1794,24418,4
1140,13880,1179,24353,4
967,7933,1779,24541,4
2022,21246,2594,43168,4
898,15286,1169,24459,4
942,8980,987,26849,4
890,12953,828,24176,4
1303,19106,1315,24411,4
1757,23606,1241,42963,4
910,15080,1150,24509,4
905,13740,827,24156,4
1085,6656,1408,24018,4
904,7249,1495,24155,4
1827,14393,2608,42871,4
2562,31772,798,51661,4
913,7333,1505,24349,4
1376,19017,1283,24547,4
949,8195,1671,26974,4
1936,28030,1354,43124,4
906,14529,1126,24185,4
932,17433,1699,24128,4
931,17580,1719,24489,4
929,17450,1720,24243,4
2202,21572,2286,42605,4
910,11379,349,24432,4
879,10144,39,24516,4
912,10231,870,24272,4
907,7008,1611,24118,4
2454,22746,2528,45341,4
918,6531,1566,24043,4
929,13979,874,24359,4
925,16727,1560,24184,4
910,13831,831,24219,4
2326,11990,2130,51419,5
1306,24271,2171,41632,5
1389,16771,187,41597,5
1278,15151,19,41353,5
3545,63777,5173,69091,5
1574,34260,2837,72722,5
2854,19064,2908,115678,5
1303,9241,1813,40622,5
1267,15840,205,40728,5
1371,26837,2454,40662,5
2589,12926,1747,40508,5
1301,22567,1822,40906,5
1989,11031,2051,37863,5
1298,13002,1834,40761,5
3010,27329,767,68622,5
1287,13904,2154,40939,5
1374,26391,2466,40936,5
4234,68063,4359,95381,5
1260,7800,1276,40695,5
1326,21322,1341,40981,5
1263,10983,103,40856,5
1271,22610,1772,40934,5
1265,7961,1350,40616,5
1407,27181,2515,40852,5
3244,17535,2904,59930,5
1273,8196,1359,40789,5
1276,21134,1305,41372,5
2089,27374,1466,41195,5
1372,26164,2400,40977,5
1364,26328,2410,41163,5
1542,9526,1605,40842,5
1369,26432,2446,40855,5
1392,27116,2454,40825,5
1490,29049,2554,40794,5
4080,23475,3067,68630,5
1302,8047,1342,40833,5
1968,11167,1856,39335,5
1298,8150,1318,41422,5
1281,4051,68,41238,5
1345,26667,2387,41554,5
2095,35636,3264,41442,5
1378,11411,2447,40859,5
1296,9976,2066,41202,5
1297,21284,1340,41395,5
3200,38249,848,74574,5
1287,15613,115,41097,5
1413,20745,2154,40770,5
1361,11259,2384,40698,5
1682,10221,1884,37814,5
1687,24888,1430,41089,5
1268,19968,1052,40858,5
1264,15255,86,40784,5
1377,26345,2419,40936,5
1358,26262,2409,40667,5
3255,17573,3109,59899,5
1865,36461,2878,41741,5
1407,27139,2483,41429,5
4706,99179,8120,211188,5
1270,10434,2124,40949,5
1270,20980,1319,40978,5
1758,10758,1851,37580,5
1275,7661,1223,40704,5
1268,15285,86,41322,5
1377,26700,2429,41483,5
3189,55509,4959,69339,5
1632,25736,1916,40594,5
1765,10481,1878,37901,5
1730,12672,1378,41086,5
1271,15264,69,41565,5
5904,71711,2270,98309,5
1320,20550,2360,40604,5
1443,10528,2363,40545,5
1316,9167,1337,41029,5
1303,8074,1339,40858,5
2996,26167,1815,68921,5
1296,15195,51,40982,5
1766,29502,2798,41296,5
1442,26910,2529,40977,5
1710,10266,1859,37947,5
1404,11453,2491,40831,5
1383,24799,2334,40778,5
1375,26384,2436,40822,5
1307,9659,2117,40869,5
1293,4275,74,40694,5
3648,17196,2509,62958,5
1715,25019,2113,41001,5
1299,23941,2139,41063,5
2196,22997,2161,41051,5
2585,26587,2163,41073,5
2500,32393,2188,41279,5
1859,9678,1504,37983,5
2087,11617,2133,40991,5
1268,21061,1347,40903,5
1936,18652,51,40628,5
2958,23429,2756,68115,5
1263,15061,42,40720,5
1290,8298,1346,40884,5
1298,17521,1328,41046,5
1281,15126,51,41104,5
1274,15316,85,40886,5
2257582,9600031,339731,223746616,6
2055576,9489854,441051,195474971,6
2226403,9737027,421980,221193927,6
2008120,9014802,385103,197384507,6
2118808,9749120,411435,208147145,6
2069972,9672058,409952,210377215,6
2064370,9705829,399578,203038385,6
2175466,9707302,393326,214975377,6
2098325,9742914,394338,204882011,6
1905670,8407801,400782,185889777,6
3075791,9707561,387887,329560278,6
3285247,9688474,324599,352923916,6
3074358,9315912,345092,318809238,6
2173749,9677043,397854,223003213,6
2168961,9746074,392821,215360300,6
2149351,9532008,388965,214792206,6
2111767,9757787,387495,208254265,6
2182413,9711838,396908,215389421,6
2241623,9765109,404280,224650244,6
2094926,9646157,390227,204914692,6
2144230,9728371,398946,219190973,6
2278519,8803615,333976,229877943,6
2195044,9630234,365994,209149667,6
2181387,9825600,422053,207424193,6
2789920,9805450,351854,288343526,6
2151898,9871460,439930,205116048,6
2722916,9802371,389128,285019315,6
3466425,9747153,321920,368666577,6
2475774,9891616,383791,249733786,6
2310302,9731916,415256,229771220,6
2738009,9672416,387037,281788925,6
2570555,9688334,352066,255784521,6
2154897,9711960,379300,207079111,6
2002394,9492129,484550,202898940,6
2371005,9727563,425624,241920845,6
2424154,9917218,420965,248462843,6
2257857,9886947,468518,228679405,6
2183788,9646985,484575,221147605,6
2302049,9913575,433904,237086713,6
2390950,9828952,400091,245592163,6
2279721,9756583,405917,228391587,6
2246628,9738356,426980,223482260,6
2128375,9759054,456550,213072121,6
2195213,9733055,499987,223867570,6
2241926,9816423,439143,225705009,6
2172306,9741050,399854,222401030,6
2075984,9142110,428932,203985117,6
2132010,9390623,412359,211130154,6
2149645,9729941,406770,212182205,6
1946663,9524449,457265,189004234,6
2038878,9527165,384675,204802684,6
2099290,9369139,487127,211087479,6
2097993,9522926,509804,207991932,6
2227357,9740592,463933,227896136,6
2159667,9716916,423753,214452784,6
2140653,9156034,380757,212580174,6
2156167,9682327,423000,211252999,6
2061168,9789923,412479,210603269,6
2104125,9727456,421780,206068606,6
2193946,9745208,373158,216942684,6
2346548,9830531,415253,235065066,6
2123575,9759676,459058,208446205,6
2154735,9596041,420523,212724272,6
2149819,9544111,476441,212744557,6
2242182,9712505,435046,224048276,6
2223801,9623521,379798,226857278,6
2077448,9749426,442270,201305549,6
2119627,9778112,413654,209959396,6
2220552,9754941,431085,219147504,6
2254343,9726669,379992,223001920,6
1881416,8809077,350621,180731413,6
2156578,9764653,408858,219508998,6
2088818,9901180,496373,208444627,6
2360324,7669467,368958,134204184,6
2342976,7337314,336237,122650569,6
2667079,7441607,285284,145629026,6
2371186,6844943,323345,115795552,6
2297591,7072027,323198,111545046,6
2115170,6344770,305665,104539001,6
2428079,6889084,343665,112363818,6
2161065,6423946,274279,103837685,6
2485781,6487333,344668,120254021,6
2176661,6255499,261032,108800738,6
2522345,7751764,471939,131838242,6
4430135,16305737,1081550,274388864,6
5827155,22765883,1283141,398875784,6
5330309,16514684,831548,326228962,6
4963772,16283036,1205136,260270376,6
4163658,17458103,990518,307227108,6
4369180,20417453,993199,384657051,6
4490424,19582252,1031063,388015481,6
4336236,20980585,783784,481267285,6
5115091,23709607,906306,535055612,6
3821103,18489317,769690,411075751,6
3354474,15369595,504606,366241677,6
1029038,1132149,254105,15047960,7
905581,1151727,256423,14514547,7
975850,1482072,263748,16742052,7
894407,1234350,245155,14280844,7
1051069,1667820,269633,24862102,7
814753,1358223,220889,14011000,7
1109323,1639702,326814,17734974,7
805492,1285508,257641,12829490,7
1071632,1427601,294985,15662072,7
912029,1153458,220414,13828413,7
898779,1081143,224903,13025414,7
984906,1487017,281261,15173397,7
1107904,2423059,306464,26613123,7
701637,812696,183648,9989689,7
840526,1562124,242304,21746850,7
1097652,2251284,338511,23590011,7
1148061,2163619,329060,22192454,7
1038919,1301545,294963,15147475,7
1145904,1667917,325042,17167728,7
750004,1018841,191811,11352369,7
759269,1096485,216645,11157650,7
769852,1209453,232003,13481863,7
1128471,1481154,337899,17317699,7
1143224,1460406,334788,15688324,7
828103,1900452,269916,16966810,7
687354,761961,180158,9793121,7
1049233,1372975,299609,15250834,7
859811,998744,242855,12543662,7
703675,913548,206940,11918035,7
