@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cache-references REAL
@ATTRIBUTE counter_values_instructions REAL
@ATTRIBUTE classLabel REAL

@DATA
941,5109,1788,25811,4
938,5127,1813,25949,4
5185,30432,9484,141801,4
1646,8867,3262,44048,4
1204,5063,2277,25637,4
1213,5998,1963,31744,4
1073,5081,2046,25857,4
1029,5719,1941,28697,4
2003,8927,3860,44633,4
975,5091,1865,25873,4
982,5107,1887,26018,4
1301,5005,2309,25335,4
1086,5727,2101,28788,4
596526,48067946,185625,389851344,4
884251,26376025,493338,212338291,4
1032,5155,2002,26144,4
987,5123,1849,26056,4
1501,5105,2602,25937,4
983,5119,1877,26033,4
6316,31390,11202,145959,4
491945,23905347,344873,162717955,4
157490,9638279,141253,65549800,4
338736,16837848,209144,139033789,4
949,5191,1798,26343,4
1690,9128,3219,45684,4
969,5191,1829,26313,4
1023,5156,1926,26177,4
5568,29947,10174,139630,4
1021,5035,1892,25537,4
478436,39602144,323906,301659701,4
133212,5146197,120043,39648516,4
1279,5152,2215,26261,4
930,5149,1741,26289,4
937,5109,1766,26039,4
4348,29616,9011,134252,4
945,5086,1842,25934,4
936,5093,1787,25930,4
986,5727,1895,28755,4
1048,5110,1976,26069,4
3294,14538,5575,73079,4
1006,5063,2035,25767,4
1218,5128,2299,26163,4
154962,6275087,158596,34955357,4
252656,14428126,185310,96455834,4
2363,12147,4499,60512,4
932,5103,1754,25878,4
1223,5063,1996,25651,4
261006,12362119,188863,87076321,4
944,5139,1785,26129,4
2420,9787,4162,50049,4
447491,37924382,162767,269671438,4
495040,65371024,200375,418953718,4
505462,65369890,233770,416707421,4
630530,61960782,243869,420927656,4
454827,65614534,288072,417160769,4
364052,54070298,200016,496502082,4
6003,35785,8372,201050,4
311689,14279766,184486,117249577,4
921,5077,1778,25695,4
1769,9059,3330,45340,4
6536,42008,11221,192437,4
305040,11690990,183331,99567112,4
131764,6159624,73823,53044264,4
652425,25275564,493180,182593058,4
388493,56775205,164623,518610021,4
17805,316269,30128,2030606,4
927,5117,1738,25909,4
903,5124,1733,26044,4
5358,30096,9851,140702,4
158554,6691417,84409,59481240,4
988595,34085378,511111,290148309,4
171652,4840661,136311,39933275,4
927,5154,1739,26302,4
905,5167,1743,26436,4
906,5132,1772,26205,4
3732,15608,7438,76492,4
230567,16782831,200105,107509422,4
1818,8460,3495,42870,4
985,5171,1881,26384,4
979,5144,1861,26222,4
970,3958,1760,19432,4
22801,153640,42175,648373,5
21301,122794,35391,557457,5
19745,129466,36239,562027,5
23987,154853,44158,677083,5
16936,111170,31031,480456,5
22338,127691,37592,552235,5
23703,159987,41686,693279,5
20344,150118,36520,650097,5
17965,128893,32443,558044,5
18764,124621,33779,539140,5
18039,127958,32393,553580,5
18571,124184,33431,535821,5
20854,148743,38424,642647,5
19104,116454,35220,512156,5
20632,129094,36708,559844,5
20312,133311,36526,576531,5
22806,128598,38563,555965,5
25450,149602,42963,645950,5
20205,129084,34141,559458,5
25556,150209,40891,650227,5
18702,129343,32932,561012,5
25186,150149,41198,649696,5
21180,135674,36380,586440,5
21540,131731,37582,577751,5
21400,141269,39098,612611,5
19545,138066,36012,601357,5
21240,112487,36714,490249,5
22620,142550,40485,618336,5
20253,136516,36807,590048,5
23307,142587,40552,617581,5
18947,136877,34461,592492,5
22526,142595,40502,618294,5
25332,141171,41817,616384,5
22869,142331,40410,616729,5
19058,136746,34143,591851,5
24252,116515,41550,507462,5
26837,147087,42212,642717,5
24939,137101,41258,594877,5
21203,144320,37700,630715,5
18124,137492,32354,597478,5
19698,149489,35252,647720,5
20677,112053,36054,486182,5
25793,153982,45257,673979,5
20488,111799,34037,485525,5
23389,149473,39124,648690,5
18535,111573,31286,484053,5
23997,142514,41722,617988,5
28044,132204,45413,571332,5
25818,149506,43495,648984,5
24091,113419,40569,496364,5
27400,149745,45629,650039,5
19706,111770,34601,484987,5
27193,145840,44461,636972,5
20634,129410,34725,560963,5
18908,124641,33941,539624,5
18790,135675,32913,586958,5
21676,124631,38278,539737,5
22333,167931,41015,727827,5
19571,136510,36022,589992,5
23206,150056,41151,648710,5
19795,129190,36182,560217,5
20126,137069,37002,593809,5
23077,129918,41166,570079,5
19080,128888,35298,558053,5
22006,149760,40364,647127,5
28463,128150,44942,552984,5
22793,142672,38591,619676,5
22904,140833,39746,605555,5
24898,140427,40181,619048,5
20715,136956,35564,593223,5
21239,124978,36324,541554,5
22772,136138,37704,589717,5
24477,147661,42670,648214,5
22392,137190,37637,595512,5
24965,142709,40742,619728,5
25208,130264,40632,565507,5
24132,133485,40909,577596,5
18818,128869,33084,558441,5
18872,125442,33768,546091,5
21348,128490,36344,558418,5
22891,142840,38831,620536,5
21612,136681,37270,590994,5
26901,146980,45868,642927,5
20218,149066,35860,643127,5
21029,136193,35783,591253,5
21100,142925,37164,621464,5
19106,137786,33533,600107,5
21401,142868,38164,621244,5
18092,136867,32247,592805,5
22076,141943,38390,613761,5
27232,125296,41848,544096,5
26675,136393,41278,592127,5
25569,129725,42600,568939,5
25119,129128,40667,559814,5
23057,136947,40364,593388,5
22730,138168,39099,593497,5
19766,141552,35140,614037,5
21937,137663,37979,596779,5
18644,111694,32556,484838,5
9416,49417,15626,214136,5
50205,924147,46353,4906711,6
19517,477252,15215,2574304,6
84981,1490085,75788,7978013,6
237195,5679003,196440,29621283,6
344510,6685113,276875,35901134,6
346949,7999266,296399,41335028,6
424290,8242493,357694,44181813,6
312299,5892768,259468,31700958,6
363165,7295013,280192,39456084,6
449938,10717804,323644,56870798,6
368578,8449833,322540,44080988,6
205492,4269562,162066,23547804,6
472618,8663346,408329,47045947,6
387817,6645626,359788,35516299,6
386775,6596898,342162,35207211,6
505889,11520983,395428,61135645,6
555832,10225847,427094,53848794,6
671109,13229337,537058,71396362,6
331017,5881132,281072,31614134,6
439595,9017328,353900,49623404,6
538443,11295839,437983,62612148,6
841843,17900009,672251,99267900,6
708080,13414598,552404,72570042,6
592109,10591597,500582,57042085,6
796457,15076530,716296,80328273,6
619565,11847620,532840,64282349,6
788753,14231421,627827,77061249,6
818652,15759801,688337,85224382,6
799269,15692904,652177,85195702,6
702283,13105842,582023,71034019,6
1193018,25140480,936437,134436871,6
873709,16395987,720592,88653291,6
301350,5649668,253109,31055952,6
1005090,21350297,779071,117048075,6
990101,18735347,823035,99947516,6
350046,6394326,316670,33987766,6
22699,169857,21964,932297,6
143818,9235091,56329,45016377,6
2783339,126657695,926277,575987066,6
1953355,99354661,765210,453718314,6
1975007,65833400,710876,319750774,6
4562760,128240965,1301088,633936088,6
3656024,96782300,1334521,495377049,6
5463810,130088095,2327510,666179991,6
5840758,140533172,2191977,715979888,6
4642530,93209105,1408371,495341924,6
3406172,83386584,1678950,435978269,6
1695535,72745088,788746,338222789,6
3174112,62801663,1408564,324359861,6
2537842,40639378,1210674,216928258,6
2872024,44078088,1279542,237132915,6
2186747,57155954,1292984,284355593,6
1047920,20268552,870965,102057915,6
859180,10221554,884417,52709889,6
1065404,11885127,1083404,61487554,6
3537712,75698035,1441227,395083008,6
2036617,27643411,1945941,143628350,6
1416330,19083180,1385776,95619420,6
1167467,32433235,739946,163643842,6
1400102,55965237,1021667,251193322,6
1078257,212650359,671986,826480856,6
1045777,153770253,686898,609937528,6
489382,124588724,255430,482400039,6
945439,102192589,619982,429625964,6
563320,65150680,415158,265077434,6
632236,15707134,513800,78733896,6
751268,13078340,730393,63750650,6
2296081,108831962,1191316,528828246,6
3749385,165597564,1520285,815130861,6
3693269,168081541,1518853,776655103,6
2129566,151450666,1023380,630294390,6
931252,125598993,649394,499539648,6
107402,8223096,86665,35928364,6
3813228,133065730,2077216,636193930,6
4240160,184896415,2441923,843385681,6
4811354,166772708,3355150,779285228,6
4633135,177820808,3226847,818393980,6
4483084,164167770,3192901,767465528,6
5097066,178603971,3625764,828642712,6
5014769,188081834,3626181,857950748,6
4727035,173051797,3403708,789398762,6
4974872,159887645,3621791,759659241,6
4707631,93959961,3494586,495032235,6
6161928,109738861,4219518,595016477,6
4851649,101505422,3326425,547004195,6
6159693,120192070,4308820,654724365,6
6048466,113552214,4409269,621878579,6
5329102,104841987,3821309,574909576,6
4065902,79764920,2838125,438097278,6
4779152,96491237,3336966,532230814,6
5837362,116080518,4133240,628202100,6
1640376,46942084,1136909,238878706,6
1024296,3087902,786193,15240516,7
1022061,3060018,774436,15173753,7
1009475,3043605,801600,15068111,7
1011736,3054974,785719,15109104,7
1012721,3039748,805845,15041710,7
1024457,3098607,785515,15375717,7
895282,2586654,705539,12993357,7
1016598,3036100,821586,15008198,7
1021637,3108991,817021,15412758,7
1024691,3038304,815591,15018486,7
1018613,3073592,764042,15227761,7
1011152,3035275,768371,15009241,7
1012263,3048960,804521,15112986,7
